SeriesID,SiteName,VariableName,LocalDateTime,DataValue,VarUnits,DataType,SiteID,SiteCode,VariableID,VariableCode,Organization,SourceDescription,SourceLink,ValueType,TimeSupport,TimeUnits,IsRegular,NoDataValue,UTCOffset,DateTimeUTC,Latitude,Longitude,ValueAccuracy,CensorCode,MethodDescription,QualityControlLevelCode,SampleMedium,GeneralCategory
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",10/28/2009 12:00:00 AM,18.1,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,10/28/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",10/29/2009 12:00:00 AM,21.4,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,10/29/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",10/30/2009 12:00:00 AM,19.4,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,10/30/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",10/31/2009 12:00:00 AM,17.6,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,10/31/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/1/2009 12:00:00 AM,17.2,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/1/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/2/2009 12:00:00 AM,17.2,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/2/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/3/2009 12:00:00 AM,17.6,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/3/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/4/2009 12:00:00 AM,17.8,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/4/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/5/2009 12:00:00 AM,17.9,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/5/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
1,"Blanco Rv at Halifax Rch nr Kyle, TX","Temperature, water, &#176;C",11/6/2009 12:00:00 AM,17.9,unknown,Average,1,NWISDV:08171290,1,NWISDV:00010,unknown,unknown,unknown,Derived Value,0,unknown,False,-999999,0,11/6/2009 12:00:00 AM,30.00555556,-97.9525,,nc,unknown,unknown,Unknown,Unknown
