Date, Time, element 1,element 2,element 3,element 4,element 5,element 6,element 7,element 8,element 9,element 10,element 11,element 12,element 13,element 14,element 15,
08/20/2009, 11:20 PM,340.912724806948,10685.4099229309,4129.16006225333,34778.0046198062,6917.8241904752,39852.3188807196,16638.1120847775,10948.9098717325,100897.069883465,59075.2166790269,1079.39307280951,61806.1417246861,48443.091196832,29800.6190425557,2314.47274263271,
08/20/2009, 11:25 PM,341.224335018869,10747.0080472991,4126.26973112496,34859.9606257875,6904.79023083772,39906.1629296781,16714.6400395738,10965.2815390163,100898.650202125,59075.6022702036,1079.8797795388,62085.1793679031,48552.0637754892,29840.527150411,2288.10277314894,
08/20/2009, 11:30 PM,854.564541948123,10714.2500923274,4147.05634879085,34602.940734773,7248.61562870146,39944.3530217536,16822.1850077987,11012.6550114158,100899.36568164,58821.1871594184,1963.643177083,62031.7271972984,48634.3126090162,30060.7538672056,2326.8259540163,
08/20/2009, 11:35 PM,1814.34985759205,10514.1078732626,4215.11430268342,33677.747691847,8353.08799154254,39968.2154568166,17007.4097529247,11127.7706743907,100899.874646,57947.6131687355,4957.94451448742,61401.0187629495,48698.7440231702,30663.226457107,2477.54950009824,
08/20/2009, 11:40 PM,2360.30781193116,10054.7367840856,4347.19046963332,31679.5754213556,10467.904495048,39978.9199733602,17327.2546295106,11353.5028353167,100900.270519972,56573.3945146433,9098.98058157199,59896.118641697,48748.7264615336,31903.7656624888,2796.6526391837,
08/20/2009, 11:45 PM,2587.54324388934,9252.16015637088,4574.56225341795,28619.4513029517,12960.8917884855,39980.5700022286,17833.9616441779,11686.6262845966,100900.590857202,55215.6323479049,12751.2402915493,57274.5043646818,48784.4853883033,33693.024781647,3352.63090907156,
08/20/2009, 11:50 PM,2683.87605349927,8179.41001771412,4900.01254246051,25062.0842567964,15279.5991877161,39981.2656414094,18488.7790056046,12066.0098998175,100900.856286332,54169.8819188697,15114.6757215877,53820.0799008888,48808.0485507077,35672.2113736722,4127.45095565399,
08/20/2009, 11:55 PM,2724.31155316255,6966.91097706929,5289.76784130786,21501.4722709322,17117.3983194218,39981.7703699589,19218.8823636785,12439.3699729895,100901.079894528,53548.3920873671,16466.8124104322,50027.2396750768,48819.7865827597,37576.8182880332,5025.81983501106,
08/21/2009, 12:00 AM,2741.8966759276,5747.13414013946,5703.7548667095,18360.0550206621,18302.833560394,39982.1717340095,19948.5588356334,12769.1721160574,100901.270674282,53161.4847813971,17293.440760906,46233.6995857553,48820.8061655598,39213.1182845039,5961.84734313195,
08/21/2009, 12:05 AM,2750.20196620852,4611.84977435944,6117.58571962619,15786.7992113477,19095.7062374866,39982.5031901981,20624.9987203712,13036.7910864847,100901.435122002,52913.9321623533,17783.6305029977,42802.1224303402,48821.2251178371,40471.9769419834,6870.08325410475,
08/21/2009, 12:10 AM,2752.6985865869,3612.60992911631,6501.23699492573,13945.9508846581,19644.124039093,39982.7830065007,21218.0539941139,13226.2909090834,100901.578095592,52761.2468465812,18075.2404771613,39832.1563380881,48821.5194610581,41342.8706201968,7690.95311509595,
08/21/2009, 12:15 AM,2753.05973009311,2791.0222600476,6843.94020216996,12610.5956561283,20008.9965365117,39983.0228124887,21704.7504777021,13364.2041909547,100901.703321407,52665.3598789256,18247.5437394398,37508.2322417353,48821.7523092088,41975.3151967933,8402.37195868507,
08/21/2009, 12:20 AM,2605.9914225078,2298.95716859877,7141.39468025146,11860.7531190371,21030.4698528059,40049.9104150236,22145.5908348082,13875.3595599627,100047.703467811,50568.0582272432,17687.1371217919,35891.1201449606,49194.70815523,42322.0642552082,8996.08102342481,
08/21/2009, 12:25 AM,2331.00769700763,2184.30938631144,7388.64544952898,11842.6090061489,23684.4112720339,40258.8120537823,22651.1283251886,15203.6702302927,97273.2112684659,43539.8195438901,15496.3040916498,34877.6127477109,50329.5497184522,42281.7127149792,9506.56273456947,
08/21/2009, 12:30 AM,2175.28996300542,2549.59752377561,7607.8495514755,12819.4618053312,28559.461133281,40693.4645572185,23338.1857780824,17882.8801828022,92133.8927660033,32520.9629757658,12423.8313615229,34493.0999123998,52691.8455613952,41715.6131132467,10010.8757432851,
