Date,Element 1,Element 2,Element 3,Element 4,Element 5,Element 6,Element 7,Element 8,Element 9,Element 10,Element 11,Element 12,Element 13,Element 14,Element 15,
8/21/2009 1:05:00 AM,0,9147.944563841,0,24198.0471200501,0,0,78696.6990048872,0,251914.20035362,145587.9608425,0,0,48860.933631466,0,0,
8/21/2009 1:10:00 AM,0,9374.43494757366,0,27812.9226349783,0,0,81071.7178337265,0,254134.278141433,149003.920460092,0,0,48967.0682564896,0,0,
8/21/2009 1:15:00 AM,0,9594.46474748714,0,31606.5818572129,0,0,83829.0394846539,0,258288.304150618,152537.993524287,0,0,49055.8446375181,0,0,
8/21/2009 1:20:00 AM,0,9805.76439310688,0,35399.7118138373,0,0,86900.4850111637,0,263664.95453761,155940.371598993,0,0,49136.4094629479,0,0,
8/21/2009 1:25:00 AM,0,10004.5576737016,0,39084.6758572251,0,0,90233.9520435527,0,269727.846253624,159120.73309081,0,0,49208.456395518,0,0,
8/21/2009 1:30:00 AM,0,10188.76122752,0,42595.2739776822,0,0,93761.8394566606,0,276140.100944695,162014.111918573,0,0,49276.7861933333,0,0,
8/21/2009 1:35:00 AM,0,10357.6220422024,0,45904.7557428611,0,0,97430.9626461919,0,282663.334808433,164598.790995579,0,0,49341.0768687001,0,0,
8/21/2009 1:40:00 AM,0,10511.1316272021,0,49000.2475152268,0,0,101195.04478267,0,289136.017803868,166876.348352713,0,0,49403.5743889538,0,0,
8/21/2009 1:45:00 AM,0,10649.960716887,0,51868.0407838907,0,0,105015.315212116,0,295461.780457233,168863.963775327,0,0,49463.3996456047,0,0,
8/21/2009 1:50:00 AM,0,10774.8652838836,0,54512.6666611179,0,0,108858.001314118,0,301592.437215394,170580.880502403,0,0,49519.3052994678,0,0,
8/21/2009 1:55:00 AM,0,10886.5324172004,0,56944.5694598313,0,0,112694.123870193,0,307489.23713942,172052.244633946,0,0,49571.3697779527,0,0,
8/21/2009 2:00:00 AM,0,10985.9846988643,0,59173.8953080121,0,0,116499.645762584,0,313128.462245651,173304.815222215,0,0,49619.8511344852,0,0,
8/21/2009 2:05:00 AM,0,11074.2725001094,0,61209.3561204564,0,0,120255.087160897,0,318502.890184512,174366.806292009,0,0,49664.8479944855,0,0,
8/21/2009 2:10:00 AM,0,11152.4253765218,0,63058.3076144551,0,0,123944.221561561,0,323617.080214251,175264.018799121,0,0,49706.0080273795,0,0,
8/21/2009 2:15:00 AM,0,11221.4105003861,0,64735.7390146298,0,0,127552.430936539,0,328479.776136945,176022.523526774,0,0,49743.0410569993,0,0,
8/21/2009 2:20:00 AM,0,11282.1607419497,0,66256.747805635,0,0,131069.221781642,0,333102.310427322,176662.607167018,0,0,49776.0886091653,0,0,
8/21/2009 2:25:00 AM,0,11335.529106567,0,67634.3536495716,0,0,134485.698146053,0,337496.652602697,177202.780854757,0,0,49805.2753568334,0,0,
8/21/2009 2:30:00 AM,0,11382.3001875736,0,68880.4148257756,0,0,137795.221000686,0,341674.507116921,177657.728808659,0,0,49830.5842654278,0,0,
8/21/2009 2:35:00 AM,0,11446.6066086028,0,70128.0027816133,0,0,140988.599082184,0,345566.803786715,178531.100344757,0,0,49848.9724260658,0,0,
8/21/2009 2:40:00 AM,0,11488.1992390744,0,71559.5971103469,0,0,144046.257922014,0,350097.344451338,180033.170463852,0,0,49864.5572006097,0,0,
8/21/2009 2:45:00 AM,0,11434.1892583235,0,73207.4595507992,0,0,146997.769228579,0,356946.716668993,182304.017607824,0,0,49888.0179322895,0,0,
8/21/2009 2:50:00 AM,0,11344.618384619,0,74498.7036925936,0,0,149982.061873576,0,366697.251019265,184778.964947353,0,0,49847.7275296463,0,0,
8/21/2009 2:55:00 AM,0,11300.8510997121,0,75163.2934369978,0,0,152963.260426116,0,377797.504799734,185857.19861211,0,0,49737.2413018977,0,0,
8/21/2009 3:00:00 AM,0,11373.2702767134,0,75211.3714663215,0,0,155842.080334786,0,387752.967068059,184442.330505832,0,0,49663.5924354479,0,0,
8/21/2009 3:05:00 AM,0,11603.5810468618,0,74770.6192016247,0,0,158509.716916323,0,394404.820839305,180277.646971574,0,0,49713.4133579012,0,0,
8/21/2009 3:10:00 AM,0,11996.7677940463,0,74197.2933417577,0,0,160870.912815878,0,397197.894957345,173762.53958167,0,0,49940.6311003175,0,0,
8/21/2009 3:15:00 AM,0,12545.6240826125,0,73682.0674401712,0,0,162866.150449627,0,396386.125459224,165407.958746957,0,0,50384.8883593452,0,0,
8/21/2009 3:20:00 AM,0,13220.2030256407,0,73326.2111048328,0,0,164552.757367306,0,392467.221047281,156259.871269452,0,0,51057.5865790184,0,0,
8/21/2009 3:25:00 AM,0,13988.9021132547,0,73201.0759416726,0,0,165979.058039617,0,386415.63082085,147186.873022421,0,0,51936.3537115172,0,0,
8/21/2009 3:30:00 AM,0,14820.2438818826,0,73261.0261013689,0,0,167207.561343188,0,379273.43556683,138761.926146311,0,0,52934.8421859438,0,0,
8/21/2009 3:35:00 AM,0,15666.4645498262,0,73493.7470604167,0,0,168275.781709346,0,371883.166348533,131210.583583984,0,0,53950.7684958654,0,0,
8/21/2009 3:40:00 AM,0,16494.6925878849,0,73879.5923536283,0,0,169224.859684926,0,364779.152537519,124626.789589695,0,0,54943.3663712319,0,0,
8/21/2009 3:45:00 AM,0,17286.0113630408,0,74402.4727714555,0,0,170083.359860148,0,358283.715257058,119012.879004696,0,0,55878.9140168861,0,0,
8/21/2009 3:50:00 AM,0,18029.3135923467,0,75041.5233543841,0,0,170876.7368798,0,352569.47392375,114303.649354545,0,0,56749.4890962003,0,0,
8/21/2009 3:55:00 AM,0,18720.2922013182,0,75766.6785267325,0,0,171628.551942042,0,347691.592105208,110415.602067589,0,0,57548.9363783474,0,0,
8/21/2009 4:00:00 AM,0,19356.6157463317,0,76556.1535615526,0,0,172355.318733133,0,343633.767510039,107258.029250426,0,0,58268.5196319206,0,0,
8/21/2009 4:05:00 AM,0,19936.3273800251,0,77390.8210364971,0,0,173069.430215023,0,340353.157385543,104727.894255764,0,0,58910.4528526953,0,0,
8/21/2009 4:10:00 AM,0,20461.0101801165,0,78252.7349240304,0,0,173780.230293342,0,337781.933940906,102729.246421742,0,0,59478.8977578393,0,0,
8/21/2009 4:15:00 AM,0,20933.4455824216,0,79125.8454473132,0,0,174494.825735111,0,335839.007335278,101171.25557212,0,0,59978.3392181887,0,0,
8/21/2009 4:20:00 AM,0,21356.4580038609,0,80000.438957879,0,0,175217.134289479,0,334437.650109937,99976.695338882,0,0,60413.0208261507,0,0,
8/21/2009 4:25:00 AM,0,21670.9583540664,0,80751.1384961341,0,0,176032.359708041,0,333502.97260211,99048.1285358716,0,0,60800.1327614519,0,0,
8/21/2009 4:30:00 AM,0,21976.3601392265,0,81149.3059280548,0,0,177016.201870307,0,332882.641831292,98369.542859251,0,0,61140.4261491291,0,0,
8/21/2009 4:35:00 AM,0,22456.0335830366,0,81098.5264704869,0,0,178188.649116232,0,332358.918806764,97619.402696734,0,0,61421.7699691211,0,0,
8/21/2009 4:40:00 AM,0,22983.8793918596,0,81233.2488096335,0,0,179309.057919772,0,331752.543050659,96531.6759997232,0,0,61754.5954275709,0,0,
8/21/2009 4:45:00 AM,0,23401.2460632787,0,81911.6084546465,0,0,180151.268341221,0,330997.486180083,95467.14851425,0,0,62142.9738843642,0,0,
8/21/2009 4:50:00 AM,0,23583.5447408542,0,83189.780978088,0,0,180639.62085208,0,330263.976121923,95029.3607130359,0,0,62415.7384950233,0,0,
8/21/2009 4:55:00 AM,0,23460.5114796076,0,84975.177298973,0,0,180780.271611357,0,329958.904874124,95494.0846593914,0,0,62439.9261850235,0,0,
8/21/2009 5:00:00 AM,0,23026.6989296818,0,86909.6371469326,0,0,180705.032960798,0,330278.297672597,96900.2729282844,0,0,62138.9600544753,0,0,
8/21/2009 5:05:00 AM,0,22298.0286007095,0,88785.8816837473,0,0,180485.878991993,0,331335.864567746,99031.0666092621,0,0,61460.7517979532,0,0,
8/21/2009 5:10:00 AM,0,21328.968200633,0,90476.3135297536,0,0,180241.302816403,0,333062.312485042,101688.703244921,0,0,60399.2019600359,0,0,
8/21/2009 5:15:00 AM,0,20176.5049566224,0,91884.4598831799,0,0,180040.882795538,0,335357.408670587,104530.663736399,0,0,58997.0826354082,0,0,
8/21/2009 5:20:00 AM,0,18897.0232996474,0,93015.8529595404,0,0,179902.307278784,0,338009.53338687,107158.57828043,0,0,57396.6556497282,0,0,
8/21/2009 5:25:00 AM,0,17574.3382121383,0,93852.0471627861,0,0,179829.002616293,0,340719.920902727,109367.94718843,0,0,55764.4093331139,0,0,
8/21/2009 5:30:00 AM,0,16266.6134426542,0,94398.6683405758,0,0,179818.310834785,0,343244.072380392,111109.340807465,0,0,54166.5625876588,0,0,
8/21/2009 5:35:00 AM,0,15007.9637345246,0,94672.4920879251,0,0,179857.431135814,0,345445.332845757,112393.351525267,0,0,52658.5566057839,0,0,
8/21/2009 5:40:00 AM,0,13818.6540159896,0,94700.9837782447,0,0,179929.811197691,0,347259.618856028,113265.143174606,0,0,51254.2436717049,0,0,
8/21/2009 5:45:00 AM,0,12707.7400250012,0,94522.4745192814,0,0,180017.480437052,0,348674.709879039,113779.290451515,0,0,49964.1901263012,0,0,
8/21/2009 5:50:00 AM,0,11680.6859140784,0,94169.9441015229,0,0,180104.946301023,0,349709.934446497,113990.010143956,0,0,48802.7435367305,0,0,
8/21/2009 5:55:00 AM,0,10742.1056115127,0,93673.757525985,0,0,180178.623081879,0,350395.494499099,113956.465378531,0,0,47766.541397144,0,0,
8/21/2009 6:00:00 AM,0,9890.41184283062,0,93064.0112608029,0,0,180226.833778895,0,350770.905504897,113733.390675479,0,0,46848.9835899795,0,0,
8/21/2009 6:05:00 AM,0,9121.82306001112,0,92368.2177551077,0,0,180240.452805549,0,350879.204053576,113370.73763314,0,0,46042.8927256404,0,0,
8/21/2009 6:10:00 AM,0,8432.3500110815,0,91607.0096498212,0,0,180213.877726005,0,350764.328087134,112910.184756637,0,0,45341.41217333,0,0,
8/21/2009 6:15:00 AM,0,7817.14503349411,0,90801.059954578,0,0,180142.693092578,0,350467.123504979,112387.852448442,0,0,44733.9595202322,0,0,
8/21/2009 6:20:00 AM,0,7270.08794151704,0,89968.6268956931,0,0,180023.585801267,0,350024.476151185,111832.074927818,0,0,44210.1862146415,0,0,
8/21/2009 6:25:00 AM,0,6785.32800539365,0,89124.9058976761,0,0,179855.450204474,0,349467.626069137,111264.876985612,0,0,43761.0151251964,0,0,
8/21/2009 6:30:00 AM,0,6357.1358175094,0,88282.6110549808,0,0,179638.813976631,0,348822.906686062,110703.513113234,0,0,43376.8079045236,0,0,
8/21/2009 6:35:00 AM,0,5979.71327504782,0,87452.0545926937,0,0,179375.343756206,0,348112.662334934,110161.275284423,0,0,43047.8002764233,0,0,
8/21/2009 6:40:00 AM,0,5647.83712542682,0,86641.170994077,0,0,179068.626436614,0,347355.714868621,109647.160266751,0,0,42767.4664727155,0,0,
8/21/2009 6:45:00 AM,0,5380.24254260419,0,86026.8212389136,0,0,178566.475378767,0,346636.449156031,109004.397629147,0,0,42525.4320485768,0,0,
8/21/2009 6:50:00 AM,0,5131.51491664236,0,85831.2659857841,0,0,177759.581357471,0,345185.733947009,108142.582462186,0,0,42319.2489206249,0,0,
8/21/2009 6:55:00 AM,0,4823.98307543595,0,86085.1992919349,0,0,176618.528779789,0,341514.627532942,107100.039245139,0,0,42153.9347283678,0,0,
8/21/2009 7:00:00 AM,0,4513.07351388956,0,86079.3854248397,0,0,175514.587069988,0,335065.652300237,106243.931995717,0,0,41953.1725684548,0,0,
8/21/2009 7:05:00 AM,0,4276.1827586698,0,85449.9374173973,0,0,174842.047349443,0,327218.466818334,106015.164380351,0,0,41706.6949934504,0,0,
8/21/2009 7:10:00 AM,0,4180.33109032073,0,84173.5183983705,0,0,174762.487760237,0,319873.215317526,106477.938600767,0,0,41518.1211612959,0,0,
8/21/2009 7:15:00 AM,0,4264.23957160442,0,82374.0778786428,0,0,175291.525162325,0,314440.559554066,107570.347152147,0,0,41471.30566679,0,0,
8/21/2009 7:20:00 AM,0,4530.27291441414,0,80472.2879354552,0,0,176267.506988552,0,311155.662668193,109061.915441951,0,0,41619.220897742,0,0,
8/21/2009 7:25:00 AM,0,4968.97117107488,0,78691.1077040042,0,0,177556.03182185,0,309715.757623029,110889.886185353,0,0,41998.7522071747,0,0,
8/21/2009 7:30:00 AM,0,5548.95129806971,0,77143.1231969371,0,0,178953.654472497,0,309809.465560001,112702.196159964,0,0,42618.848756093,0,0,
8/21/2009 7:35:00 AM,0,6236.44663758962,0,75909.6026818504,0,0,180346.10715548,0,310906.092346647,114369.784361751,0,0,43454.9014338237,0,0,
8/21/2009 7:40:00 AM,0,6998.12963843951,0,74946.2580999202,0,0,181693.502877665,0,312587.062899187,115960.555432137,0,0,44418.695817241,0,0,
8/21/2009 7:45:00 AM,0,7784.59393489689,0,74239.849923319,0,0,182976.876691893,0,314601.930096054,117541.775744601,0,0,45406.4317867247,0,0,
8/21/2009 7:50:00 AM,0,8561.55839221454,0,73767.6701835478,0,0,184179.967013703,0,316823.917213037,119104.03466234,0,0,46376.1171495292,0,0,
8/21/2009 7:55:00 AM,0,9308.89791954703,0,73509.2239691229,0,0,185302.20907909,0,319149.540902642,120629.609183697,0,0,47293.0357133104,0,0,
8/21/2009 8:00:00 AM,0,10014.4690053643,0,73438.6225387358,0,0,186349.059890305,0,321505.408285521,122103.847803187,0,0,48148.4599878643,0,0,
8/21/2009 8:05:00 AM,0,10673.0760287212,0,73520.6929259608,0,0,187330.017853826,0,323847.395816253,123514.293982113,0,0,48935.5812216872,0,0,
8/21/2009 8:10:00 AM,0,11281.6254414991,0,73728.2134828834,0,0,188254.618412779,0,326143.348653938,124852.703386744,0,0,49645.1323945961,0,0,
