Simulation Time, PET[mm/day]
11/21/2006: 12:00 AM,0.568700785315147
11/22/2006: 12:00 AM,0.814875678330379
11/23/2006: 12:00 AM,0.909621538594913
11/24/2006: 12:00 AM,0.908843080392959
11/25/2006: 12:00 AM,0.922144797763549
11/26/2006: 12:00 AM,0.897737323291487
11/27/2006: 12:00 AM,0.87423730918338
11/28/2006: 12:00 AM,0.663262388146908
11/29/2006: 12:00 AM,0.660879555968433
11/30/2006: 12:00 AM,0.547666054490162
12/01/2006: 12:00 AM,0.401471686127754
12/02/2006: 12:00 AM,0.668548039691136
12/03/2006: 12:00 AM,0.64192477923637
12/04/2006: 12:00 AM,0.459025201237166
12/05/2006: 12:00 AM,0.578447012915794
12/06/2006: 12:00 AM,0.621004374138832
12/07/2006: 12:00 AM,0.472415455889889
12/08/2006: 12:00 AM,0.387238652314909
12/09/2006: 12:00 AM,0.502071694464211
12/10/2006: 12:00 AM,0.568434708302798
12/11/2006: 12:00 AM,0.748637198401854
12/12/2006: 12:00 AM,0.669671804647622
12/13/2006: 12:00 AM,0.625287451432246
12/14/2006: 12:00 AM,0.62900097080706
12/15/2006: 12:00 AM,0.757238235684453
12/16/2006: 12:00 AM,0.848072910565826
12/17/2006: 12:00 AM,0.811273187694337
12/18/2006: 12:00 AM,0.810509097257843
12/19/2006: 12:00 AM,0.750685701651316
12/20/2006: 12:00 AM,0.501802852707481
12/21/2006: 12:00 AM,0.464561883577172
12/22/2006: 12:00 AM,0.405351418052326
12/23/2006: 12:00 AM,0.555412483962505
12/24/2006: 12:00 AM,0.68623049118484
12/25/2006: 12:00 AM,0.529118809337406
12/26/2006: 12:00 AM,0.0977498743247513
12/27/2006: 12:00 AM,0.521259609764143
12/28/2006: 12:00 AM,0.588493124261906
12/29/2006: 12:00 AM,0.674640080031692
12/30/2006: 12:00 AM,0.587354676997379
12/31/2006: 12:00 AM,0.564959557574769
01/01/2007: 12:00 AM,0.588847023280066
01/02/2007: 12:00 AM,0.735225179979443
01/03/2007: 12:00 AM,0.64038882333034
01/04/2007: 12:00 AM,0.753223404129518
01/05/2007: 12:00 AM,0.684191246925577
01/06/2007: 12:00 AM,0.78907990214814
01/07/2007: 12:00 AM,0.591976420555998
01/08/2007: 12:00 AM,0.340281079811582
01/09/2007: 12:00 AM,0.355316656849086
01/10/2007: 12:00 AM,0.427410517497618
01/11/2007: 12:00 AM,0.493331280840878
01/12/2007: 12:00 AM,0.541272322319617
01/13/2007: 12:00 AM,0.725987444511147
01/14/2007: 12:00 AM,0.770862309864947
01/15/2007: 12:00 AM,0.608430414808349
01/16/2007: 12:00 AM,0.134067695624298
01/17/2007: 12:00 AM,0.437591756616994
